datetime,ask,bid
10.01.2021 00:44:20.223,14740.341,14737.027
10.01.2021 00:44:20.273,14740.491000000002,14737.298999999999
10.01.2021 00:44:20.768,14740.351,14736.909
10.01.2021 00:44:20.818,14740.371000000001,14736.909
10.01.2021 00:44:20.928,14740.353000000001,14737.098999999998
10.01.2021 00:44:20.978,14740.571000000002,14737.098999999998
10.01.2021 00:44:21.176,14740.331,14736.919
10.01.2021 00:44:21.227,14740.381000000001,14736.858999999999
10.01.2021 00:44:21.365,14740.091,14736.688999999998
10.01.2021 00:44:23.213,14740.143,14737.038999999999
10.01.2021 00:44:23.264,14740.531,14737.038999999999
10.01.2021 00:44:23.821,14740.341,14737.087
10.01.2021 00:44:23.872,14740.311000000002,14736.868999999999
10.01.2021 00:44:24.007,14740.571000000002,14737.298999999999
10.01.2021 00:44:24.141,14740.321000000002,14736.909
10.01.2021 00:44:24.192,14740.291000000001,14736.909
10.01.2021 00:44:26.259,14740.343,14737.069
10.01.2021 00:44:26.309,14740.571000000002,14737.098999999998
10.01.2021 00:44:28.405,14740.101,14736.628999999999
10.01.2021 00:44:28.455,14740.131000000001,14736.608999999999
10.01.2021 00:44:28.654,14740.153,14736.739
10.01.2021 00:44:28.704,14740.281,14736.809
10.01.2021 00:44:28.812,14740.233,14736.829
10.01.2021 00:44:28.863,14740.361,14736.858999999999
10.01.2021 00:44:30.169,14740.353000000001,14737.069
10.01.2021 00:44:30.219,14740.551000000001,14737.098999999998
10.01.2021 00:44:30.734,14740.341,14737.087
10.01.2021 00:44:30.784,14740.111,14736.868999999999
10.01.2021 00:44:32.806,14740.261,14736.867
10.01.2021 00:44:32.856,14740.251,14736.758999999998
10.01.2021 00:44:32.965,14740.263,14736.819
10.01.2021 00:44:33.015,14740.321000000002,14736.839
10.01.2021 00:44:33.140,14740.383,14737.069
10.01.2021 00:44:33.190,14740.541000000001,14737.079
10.01.2021 00:44:34.569,14740.391000000001,14736.878999999999
10.01.2021 00:44:34.721,14740.171,14736.817
10.01.2021 00:44:34.772,14740.171,14736.659
10.01.2021 00:44:38.029,14740.081,14736.646999999999
10.01.2021 00:44:38.080,14740.051000000001,14736.569
10.01.2021 00:44:39.192,14740.111,14736.708999999999
10.01.2021 00:44:39.330,14739.903,14736.778999999999
10.01.2021 00:44:39.380,14740.001,14736.749
10.01.2021 00:44:41.172,14740.161,14736.708999999999
10.01.2021 00:44:41.985,14740.143,14737.198999999999
10.01.2021 00:44:42.035,14740.581,14737.208999999999
10.01.2021 00:44:42.636,14740.653,14737.278999999999
10.01.2021 00:44:42.686,14740.721000000001,14737.309
10.01.2021 00:44:42.823,14740.831,14737.419
10.01.2021 00:44:42.950,14740.783000000001,14737.598999999998
10.01.2021 00:44:43.000,14741.011,14737.608999999999
10.01.2021 00:44:44.181,14740.811000000002,14737.597
10.01.2021 00:44:44.231,14740.871000000001,14737.399
10.01.2021 00:44:46.311,14740.631000000001,14737.219
10.01.2021 00:44:46.362,14740.411,14737.178999999998
10.01.2021 00:44:48.789,14740.413,14737.649
10.01.2021 00:44:48.839,14741.091,14737.688999999998
10.01.2021 00:44:49.269,14741.011,14737.667
10.01.2021 00:44:49.319,14741.011,14737.528999999999
10.01.2021 00:44:50.746,14741.171,14737.678999999998
10.01.2021 00:44:50.880,14741.091,14737.627
10.01.2021 00:44:50.930,14741.031,14737.559
10.01.2021 00:44:51.077,14740.851,14737.329
10.01.2021 00:44:53.387,14740.081,14736.669
10.01.2021 00:44:55.038,14740.001,14736.569
10.01.2021 00:44:55.380,14740.013,14736.819
10.01.2021 00:44:55.430,14740.341,14736.839
10.01.2021 00:44:55.827,14740.001,14736.989
10.01.2021 00:44:55.877,14740.231000000002,14736.749
10.01.2021 00:44:56.028,14740.381000000001,14736.868999999999
10.01.2021 00:44:56.147,14740.343,14737.399
10.01.2021 00:44:56.197,14740.681,14737.208999999999
10.01.2021 00:44:58.254,14740.541000000001,14737.136999999999
10.01.2021 00:44:58.304,14740.541000000001,14737.028999999999
10.01.2021 00:44:58.412,14740.281,14737.017
10.01.2021 00:44:58.462,14740.351,14736.848999999998
10.01.2021 00:44:59.031,14740.103000000001,14737.219
10.01.2021 00:44:59.081,14740.651000000002,14737.198999999999
10.01.2021 00:45:00.978,14740.541000000001,14737.008999999998
10.01.2021 00:45:01.133,14740.391000000001,14737.046999999999
10.01.2021 00:45:01.184,14740.301000000001,14736.878999999999
10.01.2021 00:45:01.309,14740.151000000002,14736.688999999998
10.01.2021 00:45:01.454,14739.641000000001,14736.139
10.01.2021 00:45:01.638,14739.591,14736.048999999999
10.01.2021 00:45:01.774,14739.353000000001,14736.298999999999
10.01.2021 00:45:01.824,14739.341,14735.839
10.01.2021 00:45:04.279,14739.501,14736.288999999999
10.01.2021 00:45:04.985,14739.291000000001,14736.007
10.01.2021 00:45:05.036,14739.391000000001,14735.889
10.01.2021 00:45:06.147,14739.261,14735.886999999999
10.01.2021 00:45:06.198,14739.211000000001,14735.798999999999
10.01.2021 00:45:06.650,14738.671,14735.128999999999
10.01.2021 00:45:06.700,14738.631000000001,14735.159
10.01.2021 00:45:07.251,14738.191,14734.659
10.01.2021 00:45:07.657,14738.183,14734.809
10.01.2021 00:45:07.708,14738.241000000002,14734.729
10.01.2021 00:45:10.409,14738.051000000001,14734.777
10.01.2021 00:45:10.459,14737.991000000002,14734.569
10.01.2021 00:45:12.807,14737.811000000002,14734.577
10.01.2021 00:45:12.857,14737.791000000001,14734.309
10.01.2021 00:45:13.380,14737.893,14734.649
10.01.2021 00:45:13.430,14738.141000000001,14734.678999999998
10.01.2021 00:45:14.203,14738.281,14734.778999999999
10.01.2021 00:45:15.526,14738.171,14734.899
10.01.2021 00:45:15.577,14738.111,14734.698999999999
10.01.2021 00:45:15.938,14738.163,14734.788999999999
10.01.2021 00:45:15.988,14738.271,14734.788999999999
10.01.2021 00:45:16.396,14737.811000000002,14734.348999999998
10.01.2021 00:45:16.447,14737.891000000001,14734.399
10.01.2021 00:45:16.540,14736.901000000002,14733.628999999999
10.01.2021 00:45:16.590,14737.161,14733.649
10.01.2021 00:45:16.700,14737.143,14734.098999999998
